# Intensity Error [0,K,0] DeltaE [0,0,L] [H,0,0]
#  shape: 160x80x1x1
4.008054e-01 3.610147e-03 -1.987500e+00 2.500000e-02 0.000000e+00 0.000000e+00
3.739159e-01 3.315086e-03 -1.987500e+00 7.500000e-02 0.000000e+00 0.000000e+00
1.605772e-01 2.091111e-03 -1.987500e+00 1.250000e-01 0.000000e+00 0.000000e+00
3.082123e-02 7.971669e-04 -1.987500e+00 1.750000e-01 0.000000e+00 0.000000e+00
7.781865e-03 5.952019e-04 -1.987500e+00 2.250000e-01 0.000000e+00 0.000000e+00
3.711724e-03 4.584600e-04 -1.987500e+00 2.750000e-01 0.000000e+00 0.000000e+00
1.064019e-03 3.520189e-04 -1.987500e+00 3.250000e-01 0.000000e+00 0.000000e+00
1.243242e-03 5.824414e-04 -1.987500e+00 3.750000e-01 0.000000e+00 0.000000e+00
1.029537e-03 2.982514e-04 -1.987500e+00 4.250000e-01 0.000000e+00 0.000000e+00
nan nan -1.987500e+00 4.750000e-01 0.000000e+00 0.000000e+00
nan nan -1.987500e+00 5.250000e-01 0.000000e+00 0.000000e+00
nan nan -1.987500e+00 5.750000e-01 0.000000e+00 0.000000e+00
nan nan -1.987500e+00 6.250000e-01 0.000000e+00 0.000000e+00
nan nan -1.987500e+00 6.750000e-01 0.000000e+00 0.000000e+00
nan nan -1.987500e+00 7.250000e-01 0.000000e+00 0.000000e+00
nan nan -1.987500e+00 7.750000e-01 0.000000e+00 0.000000e+00
nan nan -1.987500e+00 8.250000e-01 0.000000e+00 0.000000e+00
nan nan -1.987500e+00 8.750000e-01 0.000000e+00 0.000000e+00
nan nan -1.987500e+00 9.250000e-01 0.000000e+00 0.000000e+00
nan nan -1.987500e+00 9.750000e-01 0.000000e+00 0.000000e+00
nan nan -1.987500e+00 1.025000e+00 0.000000e+00 0.000000e+00
nan nan -1.987500e+00 1.075000e+00 0.000000e+00 0.000000e+00
nan nan -1.987500e+00 1.125000e+00 0.000000e+00 0.000000e+00
nan nan -1.987500e+00 1.175000e+00 0.000000e+00 0.000000e+00
nan nan -1.987500e+00 1.225000e+00 0.000000e+00 0.000000e+00
nan nan -1.987500e+00 1.275000e+00 0.000000e+00 0.000000e+00
nan nan -1.987500e+00 1.325000e+00 0.000000e+00 0.000000e+00
nan nan -1.987500e+00 1.375000e+00 0.000000e+00 0.000000e+00
nan nan -1.987500e+00 1.425000e+00 0.000000e+00 0.000000e+00
nan nan -1.987500e+00 1.475000e+00 0.000000e+00 0.000000e+00
nan nan -1.987500e+00 1.525000e+00 0.000000e+00 0.000000e+00
nan nan -1.987500e+00 1.575000e+00 0.000000e+00 0.000000e+00
nan nan -1.987500e+00 1.625000e+00 0.000000e+00 0.000000e+00
nan nan -1.987500e+00 1.675000e+00 0.000000e+00 0.000000e+00
nan nan -1.987500e+00 1.725000e+00 0.000000e+00 0.000000e+00
nan nan -1.987500e+00 1.775000e+00 0.000000e+00 0.000000e+00
nan nan -1.987500e+00 1.825000e+00 0.000000e+00 0.000000e+00
nan nan -1.987500e+00 1.875000e+00 0.000000e+00 0.000000e+00
nan nan -1.987500e+00 1.925000e+00 0.000000e+00 0.000000e+00
nan nan -1.987500e+00 1.975000e+00 0.000000e+00 0.000000e+00
nan nan -1.987500e+00 2.025000e+00 0.000000e+00 0.000000e+00
nan nan -1.987500e+00 2.075000e+00 0.000000e+00 0.000000e+00
nan nan -1.987500e+00 2.125000e+00 0.000000e+00 0.000000e+00
nan nan -1.987500e+00 2.175000e+00 0.000000e+00 0.000000e+00
nan nan -1.987500e+00 2.225000e+00 0.000000e+00 0.000000e+00
nan nan -1.987500e+00 2.275000e+00 0.000000e+00 0.000000e+00
nan nan -1.987500e+00 2.325000e+00 0.000000e+00 0.000000e+00
nan nan -1.987500e+00 2.375000e+00 0.000000e+00 0.000000e+00
nan nan -1.987500e+00 2.425000e+00 0.000000e+00 0.000000e+00
nan nan -1.987500e+00 2.475000e+00 0.000000e+00 0.000000e+00
nan nan -1.987500e+00 2.525000e+00 0.000000e+00 0.000000e+00
nan nan -1.987500e+00 2.575000e+00 0.000000e+00 0.000000e+00
nan nan -1.987500e+00 2.625000e+00 0.000000e+00 0.000000e+00
nan nan -1.987500e+00 2.675000e+00 0.000000e+00 0.000000e+00
nan nan -1.987500e+00 2.725000e+00 0.000000e+00 0.000000e+00
nan nan -1.987500e+00 2.775000e+00 0.000000e+00 0.000000e+00
nan nan -1.987500e+00 2.825000e+00 0.000000e+00 0.000000e+00
nan nan -1.987500e+00 2.875000e+00 0.000000e+00 0.000000e+00
nan nan -1.987500e+00 2.925000e+00 0.000000e+00 0.000000e+00
nan nan -1.987500e+00 2.975000e+00 0.000000e+00 0.000000e+00
nan nan -1.987500e+00 3.025000e+00 0.000000e+00 0.000000e+00
nan nan -1.987500e+00 3.075000e+00 0.000000e+00 0.000000e+00
nan nan -1.987500e+00 3.125000e+00 0.000000e+00 0.000000e+00
nan nan -1.987500e+00 3.175000e+00 0.000000e+00 0.000000e+00
nan nan -1.987500e+00 3.225000e+00 0.000000e+00 0.000000e+00
nan nan -1.987500e+00 3.275000e+00 0.000000e+00 0.000000e+00
nan nan -1.987500e+00 3.325000e+00 0.000000e+00 0.000000e+00
nan nan -1.987500e+00 3.375000e+00 0.000000e+00 0.000000e+00
nan nan -1.987500e+00 3.425000e+00 0.000000e+00 0.000000e+00
nan nan -1.987500e+00 3.475000e+00 0.000000e+00 0.000000e+00
nan nan -1.987500e+00 3.525000e+00 0.000000e+00 0.000000e+00
nan nan -1.987500e+00 3.575000e+00 0.000000e+00 0.000000e+00
nan nan -1.987500e+00 3.625000e+00 0.000000e+00 0.000000e+00
nan nan -1.987500e+00 3.675000e+00 0.000000e+00 0.000000e+00
nan nan -1.987500e+00 3.725000e+00 0.000000e+00 0.000000e+00
nan nan -1.987500e+00 3.775000e+00 0.000000e+00 0.000000e+00
nan nan -1.987500e+00 3.825000e+00 0.000000e+00 0.000000e+00
nan nan -1.987500e+00 3.875000e+00 0.000000e+00 0.000000e+00
nan nan -1.987500e+00 3.925000e+00 0.000000e+00 0.000000e+00
nan nan -1.987500e+00 3.975000e+00 0.000000e+00 0.000000e+00
2.342981e-01 2.127258e-03 -1.962500e+00 2.500000e-02 0.000000e+00 0.000000e+00
2.573563e-01 2.210191e-03 -1.962500e+00 7.500000e-02 0.000000e+00 0.000000e+00
1.305697e-01 1.566586e-03 -1.962500e+00 1.250000e-01 0.000000e+00 0.000000e+00
2.706683e-02 6.042132e-04 -1.962500e+00 1.750000e-01 0.000000e+00 0.000000e+00
5.497087e-03 3.352369e-04 -1.962500e+00 2.250000e-01 0.000000e+00 0.000000e+00
2.874267e-03 2.805564e-04 -1.962500e+00 2.750000e-01 0.000000e+00 0.000000e+00
2.798628e-03 3.416143e-04 -1.962500e+00 3.250000e-01 0.000000e+00 0.000000e+00
2.300425e-03 3.348610e-04 -1.962500e+00 3.750000e-01 0.000000e+00 0.000000e+00
1.554437e-03 3.117317e-04 -1.962500e+00 4.250000e-01 0.000000e+00 0.000000e+00
8.308360e-04 2.633142e-04 -1.962500e+00 4.750000e-01 0.000000e+00 0.000000e+00
2.745827e-04 1.083530e-04 -1.962500e+00 5.250000e-01 0.000000e+00 0.000000e+00
nan nan -1.962500e+00 5.750000e-01 0.000000e+00 0.000000e+00
nan nan -1.962500e+00 6.250000e-01 0.000000e+00 0.000000e+00
nan nan -1.962500e+00 6.750000e-01 0.000000e+00 0.000000e+00
nan nan -1.962500e+00 7.250000e-01 0.000000e+00 0.000000e+00
nan nan -1.962500e+00 7.750000e-01 0.000000e+00 0.000000e+00
nan nan -1.962500e+00 8.250000e-01 0.000000e+00 0.000000e+00
nan nan -1.962500e+00 8.750000e-01 0.000000e+00 0.000000e+00
nan nan -1.962500e+00 9.250000e-01 0.000000e+00 0.000000e+00
nan nan -1.962500e+00 9.750000e-01 0.000000e+00 0.000000e+00
nan nan -1.962500e+00 1.025000e+00 0.000000e+00 0.000000e+00
nan nan -1.962500e+00 1.075000e+00 0.000000e+00 0.000000e+00
nan nan -1.962500e+00 1.125000e+00 0.000000e+00 0.000000e+00
nan nan -1.962500e+00 1.175000e+00 0.000000e+00 0.000000e+00
nan nan -1.962500e+00 1.225000e+00 0.000000e+00 0.000000e+00
nan nan -1.962500e+00 1.275000e+00 0.000000e+00 0.000000e+00
nan nan -1.962500e+00 1.325000e+00 0.000000e+00 0.000000e+00
nan nan -1.962500e+00 1.375000e+00 0.000000e+00 0.000000e+00
nan nan -1.962500e+00 1.425000e+00 0.000000e+00 0.000000e+00
nan nan -1.962500e+00 1.475000e+00 0.000000e+00 0.000000e+00
nan nan -1.962500e+00 1.525000e+00 0.000000e+00 0.000000e+00
nan nan -1.962500e+00 1.575000e+00 0.000000e+00 0.000000e+00
nan nan -1.962500e+00 1.625000e+00 0.000000e+00 0.000000e+00
nan nan -1.962500e+00 1.675000e+00 0.000000e+00 0.000000e+00
nan nan -1.962500e+00 1.725000e+00 0.000000e+00 0.000000e+00
nan nan -1.962500e+00 1.775000e+00 0.000000e+00 0.000000e+00
nan nan -1.962500e+00 1.825000e+00 0.000000e+00 0.000000e+00
nan nan -1.962500e+00 1.875000e+00 0.000000e+00 0.000000e+00
nan nan -1.962500e+00 1.925000e+00 0.000000e+00 0.000000e+00
nan nan -1.962500e+00 1.975000e+00 0.000000e+00 0.000000e+00
nan nan -1.962500e+00 2.025000e+00 0.000000e+00 0.000000e+00
nan nan -1.962500e+00 2.075000e+00 0.000000e+00 0.000000e+00
nan nan -1.962500e+00 2.125000e+00 0.000000e+00 0.000000e+00
nan nan -1.962500e+00 2.175000e+00 0.000000e+00 0.000000e+00
nan nan -1.962500e+00 2.225000e+00 0.000000e+00 0.000000e+00
nan nan -1.962500e+00 2.275000e+00 0.000000e+00 0.000000e+00
nan nan -1.962500e+00 2.325000e+00 0.000000e+00 0.000000e+00
nan nan -1.962500e+00 2.375000e+00 0.000000e+00 0.000000e+00
nan nan -1.962500e+00 2.425000e+00 0.000000e+00 0.000000e+00
nan nan -1.962500e+00 2.475000e+00 0.000000e+00 0.000000e+00
nan nan -1.962500e+00 2.525000e+00 0.000000e+00 0.000000e+00
nan nan -1.962500e+00 2.575000e+00 0.000000e+00 0.000000e+00
nan nan -1.962500e+00 2.625000e+00 0.000000e+00 0.000000e+00
nan nan -1.962500e+00 2.675000e+00 0.000000e+00 0.000000e+00
nan nan -1.962500e+00 2.725000e+00 0.000000e+00 0.000000e+00
nan nan -1.962500e+00 2.775000e+00 0.000000e+00 0.000000e+00
nan nan -1.962500e+00 2.825000e+00 0.000000e+00 0.000000e+00
nan nan -1.962500e+00 2.875000e+00 0.000000e+00 0.000000e+00
nan nan -1.962500e+00 2.925000e+00 0.000000e+00 0.000000e+00
nan nan -1.962500e+00 2.975000e+00 0.000000e+00 0.000000e+00
nan nan -1.962500e+00 3.025000e+00 0.000000e+00 0.000000e+00
nan nan -1.962500e+00 3.075000e+00 0.000000e+00 0.000000e+00
nan nan -1.962500e+00 3.125000e+00 0.000000e+00 0.000000e+00
nan nan -1.962500e+00 3.175000e+00 0.000000e+00 0.000000e+00
nan nan -1.962500e+00 3.225000e+00 0.000000e+00 0.000000e+00
nan nan -1.962500e+00 3.275000e+00 0.000000e+00 0.000000e+00
nan nan -1.962500e+00 3.325000e+00 0.000000e+00 0.000000e+00
nan nan -1.962500e+00 3.375000e+00 0.000000e+00 0.000000e+00
nan nan -1.962500e+00 3.425000e+00 0.000000e+00 0.000000e+00
nan nan -1.962500e+00 3.475000e+00 0.000000e+00 0.000000e+00
nan nan -1.962500e+00 3.525000e+00 0.000000e+00 0.000000e+00
nan nan -1.962500e+00 3.575000e+00 0.000000e+00 0.000000e+00
nan nan -1.962500e+00 3.625000e+00 0.000000e+00 0.000000e+00
nan nan -1.962500e+00 3.675000e+00 0.000000e+00 0.000000e+00
nan nan -1.962500e+00 3.725000e+00 0.000000e+00 0.000000e+00
nan nan -1.962500e+00 3.775000e+00 0.000000e+00 0.000000e+00
nan nan -1.962500e+00 3.825000e+00 0.000000e+00 0.000000e+00
nan nan -1.962500e+00 3.875000e+00 0.000000e+00 0.000000e+00
nan nan -1.962500e+00 3.925000e+00 0.000000e+00 0.000000e+00
nan nan -1.962500e+00 3.975000e+00 0.000000e+00 0.000000e+00
1.083867e-01 1.276752e-03 -1.937500e+00 2.500000e-02 0.000000e+00 0.000000e+00
1.223250e-01 1.308215e-03 -1.937500e+00 7.500000e-02 0.000000e+00 0.000000e+00
6.948436e-02 9.949728e-04 -1.937500e+00 1.250000e-01 0.000000e+00 0.000000e+00
1.683249e-02 4.205992e-04 -1.937500e+00 1.750000e-01 0.000000e+00 0.000000e+00
5.435833e-03 3.091896e-04 -1.937500e+00 2.250000e-01 0.000000e+00 0.000000e+00
2.801757e-03 2.165104e-04 -1.937500e+00 2.750000e-01 0.000000e+00 0.000000e+00
